NO,상가유형,호선,역명,상가번호,면적(㎡),영업업종,보호업종,계약시작,계약종료,임대료
1,개별(일반),1호선,서울(1)역,150-107,33,사무실,,2019.05.08,2024.06.06,"527,100"
2,소송상가,1호선,서울(1)역,150-109,12,미니샵A(커피전문점),,2012.05.21,2017.07.10,"5,178,550"
3,네트워크,1호선,서울(1)역,150-110,41.3,화장품,,2015.09.05,2020.11.03,"17,414,416"
4,개별(일반),1호선,시청(1)역,151-101,29.73,의류,,2017.04.04,2022.05.03,"3,858,954"
5,개별(일반),1호선,시청(1)역,151-103,57.6,장애인생산품,,2020.02.01,2025.01.31,"1,858,300"
6,공실,1호선,시청(1)역,151-104,25,,,,,
7,공실,1호선,시청(1)역,151-105,25,,,,,
8,개별(일반),1호선,시청(1)역,151-106,33,액세서리,,2017.09.19,2022.11.17,"1,801,800"
9,공실,1호선,시청(1)역,151-107,22,,,,,
10,네트워크,1호선,종각역,152-101,36.85,화장품,,2015.09.05,2020.11.03,"20,734,494"
11,네트워크,1호선,종각역,152-104,18.64,의류,,2016.03.26,2021.05.04,"4,529,968"
12,개별(일반),1호선,종각역,152-105,29.3,편의점,,2017.04.18,2022.04.17,"6,549,400"
13,개별(일반),1호선,종각역,152-106,30.7,의류,,2019.04.30,2024.05.29,"3,618,600"
14,개별(일반),1호선,종각역,152-109,42,제과,,2020.02.24,2025.03.25,"7,020,000"
15,개별(일반),1호선,종각역,152-111,16.15,액세서리,,2020.03.13,2025.04.12,"2,900,000"
16,개별(일반),1호선,종각역,152-115,29.4,제과,,2020.02.24,2025.03.25,"8,130,000"
17,개별(일반),1호선,종로3가(1)역,153-101,23.4,편의점,,2018.10.23,2023.11.21,"2,260,000"
18,개별(일반),1호선,종로3가(1)역,153-102,17.6,제과,,2017.01.10,2022.01.09,"4,600,000"
19,개별(일반),1호선,종로3가(1)역,153-104,18.05,언더웨어,,2016.09.12,2021.10.11,"1,551,000"
20,개별(일반),1호선,종로3가(1)역,153-106,26,보청기,,2018.08.14,2023.09.12,"4,350,000"
21,소송상가,1호선,종로3가(1)역,153-107,63.95,화장품,,2012.01.09,2019.05.24,"11,673,679"
22,네트워크,1호선,종로5가역,154-104,14.11,의류,,2018.11.16,2024.01.14,"1,504,866"
23,네트워크,1호선,종로5가역,154-106,44.1,화장품,,2015.09.05,2020.11.03,"14,923,307"
24,개별(일반),1호선,동대문(1)역,155-108,30.44,화장품,,2015.12.22,2020.12.21,"5,418,000"
25,네트워크,1호선,제기동역,157-101,19.3,액세서리,,2016.06.04,2021.07.03,"5,518,871"
26,네트워크,1호선,제기동역,157-106,42.72,의류,,2016.03.26,2021.05.04,"6,603,344"
27,공실,1호선,동묘앞(1)역,159-201,17.7,,,,,
