"hosun","name","avgprice","gongsil","size_under","size_over","yn","역번호","승차","하차","address","lon","lat"
"1호선","동대문",177989.487516426,0,1,0,0,155,10458.7894736842,10807.4276315789,"서울특별시 종로구 창신동 492-1 1호선 동대문역",127.0111694,37.5717429
"1호선","서울",289725.040783134,0,1,2,0,150,37159.8289473684,35122.0855263158,"서울특별시 중구 봉래동2가 122 서울역",126.9697484,37.5577857
"1호선","시청",72220.7175925926,0.5,4,2,1,151,17534.0394736842,17676.6710526316,"서울특별시 중구 정동 5-5 시청역",126.9768616,37.5657037
"1호선","제기동",220262.262230502,0,1,1,0,157,14902.8815789474,15280.9671052632,"서울특별시 동대문구 제기동 65 제기동역",127.0345907,37.5781758
"1호선","종각",252905.088584315,0,5,2,0,152,30799.0657894737,29835.125,"서울특별시 종로구 종로1가 54 종각지하철역사",126.983116,37.570178
"1호선","종로3가",158744.869969428,0,4,1,0,153,23817.9736842105,22568.6644736842,"서울특별시 종로3가 10-5  1호선 종로3가역",126.99219,37.570432
"1호선","종로5가",222524.7146007,0,1,1,0,154,19208.2565789474,19256.8355263158,"서울특별시 종로구 종로5가 82-1 1호선 종로5가역",127.0023506,37.5708307
"2호선","강남",684535.591206183,0.143,5,2,0,222,75417.5592105263,76709.6118421053,"서울특별시 강남구 역삼동 858 강남역",127.0281681,37.4970172
"2호선","강변",425837.250250585,0,0,2,0,214,29986.6776315789,29621.2894736842,"서울특별시 광진구 구의동 546-6 2호선 강변역",127.094689,37.535152
"2호선","건대입구",198997.489639136,0.091,6,5,0,212,31716.0131578947,34452.1184210526,"서울특별시 광진구 화양동 7-3 2호선 건대입구역",127.069253,37.540397
"2호선","교대",253336.738817295,0.25,7,1,1,223,27342.7697368421,30791.75,"서울특별시 서초구 서초동 1748-4 교대역",127.0172856,37.4948466
"2호선","구로디지털",464271.608332794,0.5,2,2,1,232,50028.4736842105,50068.3157894737,"서울특별시 구로구 구로동 810-3 구로디지털단지역",126.90122,37.4849804
"2호선","구의",113183.748047165,0,4,1,0,213,19917.1052631579,19360.5657894737,"서울특별시 광진구 구의동 245-24 2호선 구의역",127.0907553,37.5382826
"2호선","낙성대",121097.541346487,0.25,3,1,1,227,23323.9473684211,22358.8355263158,"서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사",126.95999,37.4711007
"2호선","당산",167611.057432183,0.167,4,2,0,237,16271.625,18571.6381578947,"서울특별시 영등포구 당산동 6가 323-1 당산역",126.9027301,37.5349309
"2호선","대림",415855.655654843,0.222,8,1,0,233,21462.7828947368,21848.5197368421,"서울특별시 구로구 구로동 1204 대림역",126.8949615,37.4925043
"2호선","동대문역사문화공원",387302.796031879,0.714,5,2,1,205,11685.5789473684,13064.2105263158,"서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역",127.0084849,37.5657177
"2호선","뚝섬",83072.3050982312,0.2,5,0,0,210,16222.7171052632,17328.5789473684,"서울특별시 성동구 성수동1가 656-745 뚝섬역",127.0473802,37.5471773
"2호선","문래",125282.640104298,0.25,3,1,1,235,16443.8421052632,16820.25,"서울특별시 영등포구 문래동3가 68-1문래역",126.8947513,37.5178873
"2호선","방배",112568.522226094,0.167,6,0,0,225,13579.4013157895,13994.0592105263,"서울특별시 서초구 방배동 912-14 방배역",126.9973202,37.4812965
"2호선","봉천",147341.048744615,0,2,0,0,229,20455.8684210526,18902.2763157895,"서울툭별시 관악구 봉천동 979-7 2호선 봉천역사",126.941574,37.482476
"2호선","사당",347583.763394817,0.25,9,3,1,226,32542.2368421053,35624.9671052632,"서울특별시 동작구 사당동 1129 사당역",126.9813957,37.4764838
"2호선","삼성",361732.883954533,0,0,1,0,219,41300.5460526316,42165.75,"서울특별시 강남구 삼성동 172-66 삼성역",127.0630673,37.5088263
"2호선","상왕십리",184416.645910616,0.333,2,1,1,207,11322.9276315789,10840.4276315789,"서울특별시 성동구 하왕십리동 946-14 상왕십리역",127.02986,37.56408
"2호선","서울대입구",317294.565960355,0.667,3,0,1,228,41196.0986842105,40120.6973684211,"서울특별시 관악구 봉천동 979-2 서울대입구역사",126.9526344,37.4811133
"2호선","서초",198775.388282022,0,7,0,0,224,17055.6973684211,16835.25,"서울특별시 서초구 서초동 1748-5 서초역",127.0105414,37.4927648
"2호선","선릉",321077.985405269,0.2,13,2,0,220,43968.8684210526,39275.3157894737,"서울특별시 강남구 삼성동 172-66 선릉역",127.0630673,37.5088263
"2호선","성수",168735.831993696,0.286,7,0,1,211,25571.6513157895,28018.5394736842,"서울특별시 성동구 성수동2가 300-1 성수역",127.05709,37.54444
"2호선","시청",106506.849315068,0,1,0,0,201,18663.4736842105,18265.6447368421,"서울특별시 중구 서소문동 90-1 시청역",126.9755029,37.5635313
"2호선","신당",46338.7927861612,0,2,0,0,206,11715.2302631579,12121.8881578947,"서울특별시 중구 신당동 99 신당역",127.0166395,37.5652813
"2호선","신대방",121892.867349548,0,1,1,0,231,22889.4934210526,21890.8881578947,"서울특별시 동작구 신대방동 643-1 신대방역 2호선",127.0174271,37.4876872
"2호선","신도림",298210.352096959,0.083,7,5,0,234,42868.0328947368,42329.5657894737,"서울특별시 구로구 신도림동 460-26 2호선 신도림역",126.8912091,37.5088341
"2호선","신림",440855.006868132,0.2,5,0,0,230,55908.1644736842,54035.9210526316,"서울특별시 관악구 신림동 1467-10 2호선 신림역사",126.929676,37.484269
